"","playerID","age_season","total_games","prev_year_games"
"854","cecchga02",23,32,4
"855","cecilda01",25,39,NA
"856","cecilda01",26,13,39
"857","cecilda01",27,3,13
"858","celesgi01",22,23,NA
"859","celesgi01",23,122,23
"860","centeju01",25,10,NA
"861","centeju01",26,55,10
"862","centeju01",27,22,55
"863","centeju01",28,10,22
"864","centeju01",29,7,10
"865","cervefr01",29,130,NA
"866","cervefr01",30,101,130
"867","cervefr01",31,81,101
"868","cervefr01",32,104,81
"869","cervefr01",33,48,104
"870","cespeyo01",29,159,NA
"871","cespeyo01",30,132,159
"872","cespeyo01",31,81,132
"873","cespeyo01",32,38,81
"874","changyu01",23,28,NA
"875","changyu01",25,89,28
"876","changyu01",26,67,89
"877","changyu01",27,39,67
"878","chapmma01",24,84,NA
"879","chapmma01",25,145,84
"880","chapmma01",26,156,145
"881","chapmma01",28,151,156
"882","chapmma01",29,155,151
"883","chapmma01",30,140,155
"884","chavimi01",23,95,NA
"885","chavimi01",25,43,95
"886","chavimi01",26,129,43
"887","chavimi01",27,48,129
"888","chiriro01",31,78,NA
"889","chiriro01",32,57,78
"890","chiriro01",33,88,57
"891","chiriro01",34,113,88
"892","chiriro01",35,114,113
"893","chiriro01",37,45,114
"894","chiriro01",38,67,45
"895","chiselo01",26,106,NA
"896","chiselo01",27,126,106
"897","chiselo01",28,82,126
"898","chiselo01",29,29,82
"899","chishja01",23,124,NA
"900","chishja01",24,60,124
"901","chishja01",25,97,60
"902","choicmi01",25,1,NA
"903","choiji01",25,54,NA
"904","choiji01",26,6,54
"905","choiji01",27,61,6
"906","choiji01",28,127,61
"907","choiji01",30,83,127
"908","choiji01",31,113,83
"909","choiji01",32,39,113
"910","choosh01",32,149,NA
"911","choosh01",33,48,149
"912","choosh01",34,149,48
"913","choosh01",35,146,149
"914","choosh01",36,151,146
"915","ciriape01",29,84,NA
"916","ciuffni01",23,16,NA
"917","ciuffni01",24,3,16
"918","ciuffni01",26,2,3
"919","clemeer01",25,40,NA
"920","clemeer01",26,67,40
"921","clemeer01",27,28,67
"922","clemeko01",26,49,NA
"923","clemeko01",27,43,49
"924","clevest01",29,30,NA
"925","clevest01",30,22,30
